rank,hex,area_fraction,candidate_role,relative_luminance,rgb_chroma,rgb
1,#FEFEFE,0.252554,background-neutral,0.9911,0.0,"254,254,254"
2,#030404,0.246545,structural-neutral,0.0011,0.0039,"3,4,4"
3,#E6E3F4,0.115331,structural-neutral,0.7829,0.0667,"230,227,244"
4,#1672A5,0.077997,dark-anchor-candidate,0.1492,0.5608,"22,114,165"
5,#0B5C41,0.058884,dark-anchor-candidate,0.0811,0.3176,"11,92,65"
6,#91979A,0.048643,structural-neutral,0.3049,0.0353,"145,151,154"
7,#402924,0.046289,dark-anchor-candidate,0.028,0.1098,"64,41,36"
8,#CDBFCA,0.045104,structural-neutral,0.5451,0.0549,"205,191,202"
9,#6A6458,0.040747,structural-neutral,0.1288,0.0706,"106,100,88"
10,#DC8C43,0.029471,data-colour-candidate,0.3438,0.6,"220,140,67"
11,#AE1D1B,0.028344,dark-anchor-candidate,0.0996,0.5765,"174,29,27"
12,#C249AE,0.010091,rare-accent-candidate,0.1929,0.4745,"194,73,174"
